State,Democrat,Republican,Other,victory_margin,id
AK,93003,130413,23172,-0.151710546,2
AL,718084,1306925,53156,-0.283346606,1
AR,378729,677904,51982,-0.269863749,5
AZ,936250,1021154,105406,-0.041159389,4
CA,7362490,3916209,675618,0.28828757,6
CO,1212209,1137455,214521,0.029153123,8
CT,884432,668266,70844,0.133144692,9
DC,260223,11553,8496,0.887245247,11
DE,235581,185103,20851,0.114323893,10
FL,4485745,4605515,295490,-0.012759475,12
GA,1837300,2068623,123641,-0.057406459,13
HI,266827,128815,33183,0.321837579,15
IA,650790,798923,93167,-0.096010707,19
ID,189677,407199,91359,-0.316057742,16
IL,2977498,2118179,278603,0.159894721,17
IN,1031953,1556220,133856,-0.192601548,18
KS,414788,656009,76346,-0.210279799,20
KY,628834,1202942,90442,-0.298669558,21
LA,779535,1178004,70192,-0.196509793,22
MA,1964768,1083069,183694,0.272842501,25
MD,1497951,873646,102946,0.252291029,24
ME,354873,334838,51839,0.027017733,23
MI,2268193,2279805,242919,-0.002423753,26
MN,1366676,1322891,226837,0.015013352,27
MO,1054889,1585753,134456,-0.191295587,29
MS,462001,678457,22529,-0.186120739,1
MT,174521,274120,34933,-0.205964341,30
NC,2162074,2339603,127794,-0.038347578,37
ND,93526,216133,27309,-0.363853541,38
NE,273858,485819,45961,-0.263097073,31
NH,348521,345789,37243,0.003734521,33
NJ,2021756,1535513,117624,0.132314873,34
NM,380724,315875,86528,0.082807769,35
NV,537753,511319,73918,0.023538945,32
NY,4143874,2640570,261731,0.213350364,36
OH,2317001,2771984,236410,-0.085436479,39
OK,419788,947934,83334,-0.363973548,40
OR,934631,742506,131438,0.106230043,41
PA,2844705,2912941,212461,-0.011429611,42
RI,249902,179421,20798,0.156582341,44
SC,849469,1143611,91364,-0.14111293,45
SD,117442,227701,24904,-0.297959448,46
TN,867110,1517402,100179,-0.261719465,47
TX,3867816,4681590,353831,-0.091402037,48
UT,274188,452086,258683,-0.180614991,49
VA,1916845,1731156,196786,0.048296304,51
VT,178179,95053,18181,0.285251516,50
WA,1610524,1129120,218298,0.162749641,53
WI,1380823,1403694,152809,-0.007786334,55
WV,187457,486198,34571,-0.421815918,54
WY,55949,174248,18545,-0.475589165,56
